text,label
Yeh class office ke system pe save hai.,neutral
"tumhara channel bohot full paisa vasool nikla, sabko bata diya maine.",positive
"Itna kamaal lecture maine pehle nahi dekha, hats off!",positive
"What a boring yeh video, complete waste of time.",negative
"woh episode ne expectations cross kar diye, ekdum ekdum sahi!",positive
Yeh phone ke baare mein notification aaya.,neutral
Yeh series 3 baje start hoga.,neutral
"yeh video se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
Uska gaana kal release hua tha.,neutral
Woh episode next week schedule hai.,neutral
"What a boring lecture, complete waste of time.",negative
"yeh video itna bilkul bekaar nikla, expect nahi kiya tha.",negative
"yeh vlog bohot mast nikla, sabko bata diya maine.",positive
Training session group mein share kiya gaya.,neutral
"Thoroughly enjoyed training session, perfect effort by everyone.",positive
"What a fantastic naya project, proud feeling aa raha hai.",positive
"Thoroughly enjoyed yeh video, amazing effort by everyone.",positive
Internship experience abhi process ho raha hai.,neutral
"Thoroughly enjoyed training session, superb effort by everyone.",positive
"Honestly is restaurant ka khana was underwhelming, very disappointed.",negative
"yeh movie ne expectations cross kar diye, ekdum kamaal!",positive
"Yaar exam paper dhamakedaar hai, dil khush ho gaya!",positive
Interview office ke system pe save hai.,neutral
Tera reel ka link description mein hai.,neutral
"hostel ka room ka level faltu tha, sudhaar ki zarurat hai.",negative
Yeh video group mein share kiya gaya.,neutral
"Honestly uska gaana was frustrating, very disappointed.",negative
Yeh assignment ke baare mein notification aaya.,neutral
"kal ka match dekh ke mood off ho gaya, third class experience.",negative
Yeh app ke baare mein notification aaya.,neutral
"Frankly yeh vlog was underwhelming, would not recommend.",negative
"Frankly yeh assignment was horrible, would not recommend.",negative
Yeh vlog ka format change hua hai.,neutral
"What a outstanding naya project, proud feeling aa raha hai.",positive
"Bro yeh vlog is absolutely amazing, loved it!",positive
"is product ka review bohot faltu laga mujhe, na dekho bekar mein.",negative
"yeh vlog dekh ke mood off ho gaya, bakwaas experience.",negative
"tumhara channel ka level bore karne wala tha, sudhaar ki zarurat hai.",negative
"Honestly team ka performance was underwhelming, very disappointed.",negative
Hostel ka room ka format change hua hai.,neutral
"internship experience ka content full zabardast tha, mast laga!",positive
"is content ne expectations cross kar diye, ekdum kamaal!",positive
"What a awful training session, complete waste of time.",negative
"Honestly is product ka review was useless, very disappointed.",negative
Is content 3 baje start hoga.,neutral
Yeh phone ka second part bhi available hai.,neutral
"is content dekh ke mood off ho gaya, ganda experience.",negative
"Yaar lecture zabardast hai, dil khush ho gaya!",positive
Internship experience ke baare mein notification aaya.,neutral
Team ka performance office ke system pe save hai.,neutral
"interview ne expectations cross kar diye, ekdum zabardast!",positive
"What a top notch yeh assignment, proud feeling aa raha hai.",positive
"hostel ka room se bilkul bhi satisfied nahi hoon, bekar tha.",negative
"woh episode ka content full zabardast tha, mast laga!",positive
"Honestly yeh class was horrible, very disappointed.",negative
"Itna next level yeh phone maine pehle nahi dekha, hats off!",positive
"tera reel dekh ke mood off ho gaya, bekar experience.",negative
"Bro yeh series is disappointing, not worth it at all.",negative
"Frankly lecture was terrible, would not recommend.",negative
"Bro internship experience is horrible, not worth it at all.",negative
